Adipocytes,Astrocytes,B-cells,CD4+ T-cells,CD8+ T-cells,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,HSC,Keratinocytes,Macrophages,Melanocytes,Mesangial cells,Monocytes,Myocytes,Neurons,Neutrophils,NK cells,Pericytes,Skeletal muscle,Smooth muscle
C1QB,CFI,LILRB1,PARP15,PTPRCAP,POPDC3,,PEAR1,,TRNP1,HPGDS,ALDH1L2,GAPT,IRX2,GPRIN3,HES6,TEAD3,CSF1R,TNNT1,GABRB3,DEFA1,SLA2,,IP6K3,FBLN2
AQP1,NTM,SP140,TTN,LIME1,STS,,DCHS1,,MPZL2,CHAC2,SCARF2,ANGPT1,LAD1,CCR1,EGFL8,LAMC2,ACPP,DSEL,GRM7,CCNJL,CD226,,MYOG,FBLN1
RARRES2,NAP1L3,JSRP1,PRKCQ,NCALD,SIX4,,FAT4,,FAM83G,MCM10,MAGED4,HSH2D,CDH3,APOE,CXCL5,KRT8,PID1,CACNA2D1,CTNNA2,DEFA4,GPR174,,TNNC1,COL16A1
PODN,P4HA3,LINC00426,GIMAP5,TMIGD2,FMOD,,LDB2,,PACSIN3,RAD54L,ANTXR1,HENMT1,IL1A,LY86,4-Sep,KCNG1,CHN2,PRUNE2,GPR63,CAMP,TMIGD2,,CLIC5,STC1
SVEP1,PCDH7,P2RY10,PLCL1,DEFA1,PDE1A,,TAL1,,FSTL3,CERKL,COL5A1,MEIS1,TFAP2A,CRABP2,DUSP4,ALPK2,CLEC4E,HSPB8,RGS7,CMTM1,MLC1,,ASB5,PDE5A
FMOD,POSTN,SIDT1,STAT4,AQP3,FHOD3,,RNF152,,FAT1,HBB,TNFRSF11B,RGL4,IRX1,CD300LB,ATP10A,GPRC5C,CLEC12A,CCDC80,GNAO1,MMP8,CMKLR1,,ADPRHL1,DSEL
PPP1R14A,BGN,ADAM28,BCL2,PARP15,KAZN,,PLXNA2,,CDCP1,CKAP2L,AOX1,SYNGR1,ITGB4,FGD2,APOD,CELSR1,CFP,SCARNA16,KCNA2,SLCO4C1,NLRC3,,MYH8,PDGFRB
VSIG4,THY1,SLAMF7,IPCEF1,S100B,ADAM12,,FAM43A,,TPBG,ORC1,FST,MAP4K1,AP1M2,HK3,POPDC3,LRRC20,FFAR2,FGF2,ASPDH,AFF2,SKAP1,,HHATL,B3GNT9
TNXB,WNT5A,MAP4K1,LIME1,STAT4,PRRX1,,GIMAP8,,PTPRF,PF4,C1QTNF1,SLC39A4,SAA1,FABP4,AIF1L,IGF2,HLA-DQB1,RGS5,GRIK1,GDPD3,NKG7,,PPP1R27,MXRA8
SOD3,RGS4,TPD52,LTB,PRKCQ,OSR1,,GRAP,,EPHB2,TAL1,CDH11,C8orf44,GJB2,A2M,SORBS1,RRAD,C5AR1,CRYAB,IGSF21,HAL,LAX1,,NEB,STC2
LPL,GFPT2,COBLL1,ITGB7,GIMAP1,TWIST1,,NTN4,,KRT18,DNAJC6,SFRP1,IL3RA,FLRT3,CHI3L1,CDON,CD24,FCER1A,ABCA8,KCNIP4,SIRPD,CCL4,,MYL3,RGS4
C11orf96,LOXL4,FCGR2B,PTPRCAP,KLRG1,TGFB3,,CALCRL,,TINAGL1,C6orf25,TRNP1,AMT,WDR66,CCL3,C11orf96,CARD10,NR4A2,COL8A1,NELL1,VNN1,PLCXD2,,FITM1,CDH11
AOX1,RGS5,POU2F2,CXorf65,PASK,WNT5A,,SEMA3F,,PLXNB1,CCDC34,BICC1,AREG,CNTN1,HSD17B14,DAAM2,,GLT1D1,INHBA,CDH12,HRH2,CD6,,MURC,LURAP1L
ITGA7,SPEG,CD38,FHIT,SNORA36A,GALNT5,,SPNS2,,FBLIM1,NMNAT3,SULF1,KIF9,DLL1,CSF1R,BBS5,,DEFA1,DKK1,SYT4,GHRL,CARD11,,CAV3,CLMP
ADAM33,LIF,SLC25A42,SNORD89,TNFRSF25,CHI3L2,,MALL,,EPS8L2,CDC25C,LRRC17,CREB3L4,TMEM40,FCGR1A,OASL,,SLC16A6,ADAMTSL1,NKX6-2,FPR1,SLCO4C1,,PLN,CSPG4
